time;V(IN_CODEC_BUF);V(IN_JACK_BUF);
0,0252482;1,27539;4,99969;
0,0252582;1,27493;4,99334;
0,0252682;1,27299;4,96728;
0,0252782;1,26958;4,92162;
0,0252882;1,2647;4,85654;
0,0252982;1,25839;4,77229;
0,0253082;1,25066;4,66921;
0,0253182;1,24154;4,54769;
0,0253282;1,23107;4,40824;
0,0253382;1,2193;4,25138;
0,0253482;1,20626;4,07775;
0,0253582;1,19201;3,88802;
0,0253682;1,17661;3,68295;
0,0253782;1,16011;3,46334;
0,0253882;1,14258;3,23007;
0,0253982;1,1241;2,98405;
0,0254082;1,10473;2,72625;
0,0254182;1,08455;2,45769;
0,0254282;1,06364;2,17943;
0,0254382;1,04208;1,89257;
0,0254482;1,01995;1,59825;
0,0254582;0,997358;1,29761;
0,0254682;0,974375;0,991855;
0,0254782;0,951096;0,682184;
0,0254882;0,927613;0,369821;
0,0254982;0,90402;0,0559987;
0,0255082;0,880409;-0,258045;
0,0255182;0,856873;-0,57107;
0,0255282;0,833506;-0,881841;
0,0255382;0,810398;-1,18913;
0,0255482;0,787643;-1,49173;
0,0255582;0,765329;-1,78844;
0,0255682;0,743544;-2,07809;
0,0255782;0,722375;-2,35955;
0,0255882;0,701905;-2,63168;
0,0255982;0,682215;-2,89344;
0,0256082;0,663383;-3,14377;
0,0256182;0,645482;-3,3817;
0,0256282;0,628583;-3,60628;
0,0256382;0,612754;-3,81663;
0,0256482;0,598057;-4,01192;
0,0256582;0,584549;-4,19137;
0,0256682;0,572284;-4,35428;
0,0256782;0,561311;-4,50001;
0,0256882;0,551672;-4,62798;
0,0256982;0,543406;-4,73768;
0,0257082;0,536545;-4,82869;
0,0257182;0,531117;-4,90064;
0,0257282;0,527142;-4,95324;
0,0257382;0,524637;-4,9863;
0,0257482;0,523612;-4,99969;
0,0257582;0,524069;-4,99334;
0,0257682;0,526009;-4,96728;
0,0257782;0,529423;-4,92162;
0,0257882;0,534297;-4,85654;
